"","ID","Sex","Age","AcademicDegree"
"1","25920","女性",55,"短大、専門学校"
"2","367640","男性",50,"大学"
"3","1229329","男性",44,"大学"
"4","4213579","男性",37,"大学"
"5","3700270","女性",50,"高校"
"6","95866","男性",47,"高校"
"7","3124577","男性",38,"大学"
"8","671182","男性",48,"大学"
"9","5604782","男性",28,"大学"
"10","2779575","男性",43,"短大、専門学校"
"11","379565","女性",31,"中学"
"12","2810580","男性",45,"高校"
"13","757433","男性",43,"大学"
"14","2349425","男性",40,"大学"
"15","783528","女性",42,"大学"
"16","2250473","女性",24,"大学"
"17","1610899","男性",47,"大学"
"18","5302284","男性",38,"大学"
"19","4854693","男性",22,"高校"
"20","217088","女性",44,"短大、専門学校"
"21","2884266","女性",49,"大学"
"22","276409","男性",50,"高校"
"23","1867212","女性",42,"大学"
"24","1127132","女性",45,"大学"
"25","4189255","男性",35,"大学"
"26","2141268","男性",48,"高校"
"27","2331402","男性",49,"大学院"
"28","2600289","女性",29,"短大、専門学校"
"29","607634","女性",36,"高校"
"30","114735","男性",46,"大学"
"31","2613017","男性",45,"大学"
"32","728411","男性",31,"短大、専門学校"
"33","222621","女性",58,"高校"
"34","4495877","女性",34,"大学"
"35","603644","男性",35,"大学"
"36","1523010","男性",38,"大学"
"37","1039845","男性",43,"高校"
"38","5451300","男性",38,"大学"
"39","5138531","男性",31,"高校"
"40","2912766","男性",58,"大学"
"41","4960690","男性",41,"大学院"
"42","2511054","男性",48,"大学"
"43","94338","女性",45,"大学"
"44","733149","男性",49,"大学"
"45","4067838","女性",58,"短大、専門学校"
"46","4758400","男性",34,"大学"
"47","1773443","男性",49,"大学"
"48","312376","男性",41,"大学"
"49","1791041","男性",40,"大学"
"50","3551128","女性",55,"大学"
"51","1673150","男性",31,"大学院"
"52","4093278","男性",31,"中学"
"53","4173223","男性",30,"大学"
"54","1916814","女性",42,"短大、専門学校"
"55","4523774","女性",45,"高校"
"56","3387749","男性",58,"大学"
"57","2259197","男性",46,"大学"
"58","3327831","男性",35,"大学"
"59","3947352","男性",23,"大学"
"60","839571","男性",42,"大学"
"61","2232807","女性",32,"短大、専門学校"
"62","1445649","男性",38,"大学"
"63","148287","女性",45,"大学"
"64","4680788","女性",30,"短大、専門学校"
"65","4021758","男性",45,"短大、専門学校"
"66","1388752","女性",46,"短大、専門学校"
"67","109960","男性",41,"大学"
"68","3184242","女性",44,"短大、専門学校"
"69","4230966","女性",40,"大学院"
"70","5674712","男性",34,"大学"
"71","4516926","女性",44,"高校"
"72","4103250","男性",39,"大学院"
"73","4121300","男性",47,"大学院"
"74","4858639","女性",30,"短大、専門学校"
"75","5208617","男性",26,"大学"
"76","5097455","男性",43,"中学"
"77","1778742","女性",42,"大学"
"78","4105392","男性",30,"短大、専門学校"
"79","3312891","男性",31,"大学"
"80","2505668","男性",33,"中学"
"81","149507","女性",49,"短大、専門学校"
"82","5098660","女性",29,"短大、専門学校"
"83","4625321","男性",32,"大学"
"84","42040","男性",39,"大学"
"85","5134695","男性",38,"短大、専門学校"
