"ID","SumJobScore"
25920,6
42040,6
94338,0
95866,13
109960,8
114735,13
148287,10
149507,7
217088,10
222621,9
276409,4
312376,8
367640,11
379565,6
603644,11
607634,7
671182,7
728411,8
733149,9
757433,11
783528,7
839571,0
1039845,0
1127132,14
1229329,8
1388752,7
1445649,8
1523010,11
1610899,10
1673150,7
1773443,4
1778742,10
1791041,13
1867212,6
1916814,8
2141268,9
2232807,8
2250473,18
2259197,4
2331402,8
2349425,9
2505668,5
2511054,7
2600289,6
2613017,12
2779575,6
2810580,6
2884266,8
2912766,9
3124577,9
3184242,6
3312891,11
3327831,19
3387749,6
3551128,10
3700270,6
3947352,8
4021758,7
4067838,8
4093278,6
4103250,0
4105392,9
4121300,7
4173223,7
4189255,5
4213579,5
4230966,9
4495877,10
4516926,9
4523774,14
4625321,12
4680788,11
4758400,7
4854693,6
4858639,6
4960690,12
5097455,2
5098660,12
5134695,4
5138531,12
5208617,9
5302284,8
5451300,7
5604782,0
5674712,0
