"ID","SumRPSMCorrect"
25920,7
42040,4
94338,4
95866,6
109960,7
114735,5
148287,2
149507,5
217088,3
222621,7
276409,5
312376,7
367640,5
379565,6
603644,3
607634,3
671182,7
728411,4
733149,9
757433,5
783528,6
839571,3
1039845,5
1065632,9
1127132,5
1229329,4
1388752,0
1445649,6
1472598,9
1523010,12
1610899,6
1673150,12
1773443,4
1778742,4
1791041,7
1867212,8
1916814,7
2141268,8
2232807,9
2250473,2
2259197,3
2331402,9
2349425,7
2505668,9
2511054,5
2600289,5
2613017,3
2779575,2
2810580,8
2884266,8
2912766,7
2913068,7
3124577,11
3184242,6
3312891,9
3327831,7
3387749,8
3551128,7
3700270,4
3947352,6
4021758,2
4067838,3
4093278,5
4103250,7
4105392,10
4121300,4
4173223,7
4189255,5
4213579,6
4222839,12
4230966,7
4495877,6
4516926,2
4523774,5
4625321,9
4680788,7
4758400,5
4854693,3
4858639,6
4960690,12
4979308,12
5097455,2
5098660,1
5134695,9
5138531,8
5208617,11
5302284,5
5330100,3
5451300,8
5495452,8
5604782,11
5674712,7
