"cwid","SumSSTFinalRating"
25920,31
42040,25
94338,27
95866,28
109960,28
114735,34
148287,26
149507,29
217088,29
222621,29
276409,27
312376,28
367640,33
379565,28
603644,29
607634,4
671182,30
728411,25
733149,29
757433,33
783528,29
839571,24
1039845,31
1127132,23
1229329,28
1388752,25
1445649,30
1523010,29
1610899,34
1673150,34
1773443,29
1778742,28
1791041,28
1867212,29
1916814,23
2141268,29
2232807,30
2250473,0
2259197,31
2331402,34
2349425,26
2505668,25
2511054,33
2600289,29
2613017,27
2779575,28
2810580,25
2884266,31
2912766,30
3124577,32
3184242,31
3312891,28
3327831,31
3387749,33
3551128,27
3700270,26
3947352,31
4021758,28
4067838,28
4093278,26
4103250,27
4105392,32
4121300,33
4173223,31
4189255,30
4213579,23
4230966,28
4495877,30
4516926,22
4523774,31
4625321,37
4680788,23
4758400,29
4854693,23
4858639,25
4960690,29
5097455,29
5098660,31
5134695,33
5138531,29
5208617,25
5302284,30
5451300,29
5604782,27
5674712,28
